1.1|Apply Latest OS Patches
7.2|Ensure Password Fields are Not Empty
7.3|Set Password Expiration Parameters on Active Accounts
7.4|Set Strong Password Creation Policies
7.5|Verify No Legacy “+” Entries Exist in passwd, shadow, and group Files
7.6|Verify No UID 0 Accounts Exist Other than root
7.7|Set Default Group for root Account
7.8|Change Home Directory for root Account
7.9|Ensure root PATH Integrity
8|Warning Banners
8.1|Create Warnings for Standard Login Services
8.2|Create Warning Banner for CDE Users
8.3|Create Warning Banner for GNOME Users
8.4|Create Warning Banner for FTP daemon
8.5|Check Banner Setting for telnet is Null
8.6|Create Power On Warning
8.7|Change Default Greeting String for Sendmail
9|System Maintenance
9.1|Check for Remote Consoles
9.2|Verify System File Permissions
9.3|Ensure Password Fields are Not Empty
9.4|Verify No Legacy “+” Entries Exist in passwd, shadow, and group Files
9.5|Verify No UID 0 Accounts Exist Other than root
9.6|Ensure root PATH Integrity
9.7|Check Permissions on User Home Directories
9.8|Check User Dot File Permissions
9.9|Check Permissions on User .netrc Files
9.10|Check for Presence of User .rhosts Files
9.11|Check Groups in /etc/passwd
9.12|Check That Users Are Assigned Home Directories
9.13|Check That Defined Home Directories Exist
9.14|Check User Home Directory Ownership
9.15|Check for Duplicate UIDs
9.16|Check for Duplicate GIDs
9.17|Check That Reserved UIDs Are Assigned to System Accounts
9.18|Check for Duplicate User Names
9.19|Check for Duplicate Group Names
9.20|Check for Presence of User .netrc Files
9.21|Check for Presence of User .forward Files
9.22|Find World Writable Files
9.23|Find SUID/SGID System Executables
9.24|Find Un-owned Files and Directories
9.25|Find Files and Directories with Extended Attributes
SN.1|Enable process accounting at boot time
SN.2|Use full path names in /etc/dfs/dfstab file
SN.3|Restrict access to power management functions
SN.4|Restrict access to sys-suspend feature
SN.5|Create symlinks for dangerous files
SN.7|Remove Support for Internet Services (inetd)
